/work/sheidaei/conda/envs/mytorch/lib/python3.9/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /opt/conda/conda-bld/pytorch_1682343997789/work/aten/src/ATen/native/TensorShape.cpp:3483.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
Namespace(dataset='Degradation', img_size=[160, 160, 160], vit_patches_size=[2, 2, 2], net_path='../model/TVD_Degradation[160, 160, 160]/TVD_pretrained_Conv-ViT-B_16_vitpatch[2, 2, 2]_epo4_bs16_lr0.01_seed1234/epoch_0.pth', vit_name='Conv-ViT-B_16', pretrained_net_path='../model/TVD_Degradation[64, 64, 64]/TVD_Conv-ViT-B_16_vitpatch[2, 2, 2]_epo4_bs48_lr0.01_seed1234/epoch_3.pth', is_encoder_pretrained=False, deterministic=1, max_epochs=4, batch_size=16, base_lr=0.01, seed=1234, is_savenii=False, test_save_dir='../predictions', gpu=4, batch_size_test=16, world_size=-1, rank=-1, dist_url='env://', dist_backend='nccl', local_rank=-1, index=None, num_classes=2, volume_path='/work/sheidaei/mhashemi/data/deg', Dataset=<class 'datasets.dataset_3D.Degradation_dataset'>, list_dir='./lists/lists_Degradation', z_spacing=1, exp='TVD_Degradation[160, 160, 160]', distributed=False)
TVD_pretrained_Conv-ViT-B_16_vitpatch[2, 2, 2]_epo4_bs16_lr0.01_seed1234
207 test iterations per epoch
name  134001 time 0.694444 dice_class1 0.980277 hd95_class1 0.000000
name  134001 time 0.722222 dice_class1 0.981086 hd95_class1 0.000000
name  134001 time 0.750000 dice_class1 0.981724 hd95_class1 0.000000
name  134001 time 0.777778 dice_class1 0.982559 hd95_class1 0.000000
name  134001 time 0.805556 dice_class1 0.982654 hd95_class1 0.000000
name  134001 time 0.833333 dice_class1 0.982640 hd95_class1 0.000000
name  134001 time 0.861111 dice_class1 0.982784 hd95_class1 0.000000
name  134001 time 0.888889 dice_class1 0.984072 hd95_class1 0.000000
6it [02:56, 22.86s/it]name  134001 time 0.916667 dice_class1 0.984907 hd95_class1 0.000000
name  134001 time 0.944444 dice_class1 0.985182 hd95_class1 0.000000
name  134001 time 0.972222 dice_class1 0.985353 hd95_class1 0.000000
name  104304 time 0.083333 dice_class1 0.934839 hd95_class1 1.000000
name  104304 time 0.111111 dice_class1 0.946400 hd95_class1 1.000000
name  104304 time 0.138889 dice_class1 0.950116 hd95_class1 1.000000
name  104304 time 0.166667 dice_class1 0.952564 hd95_class1 1.000000
name  104304 time 0.194444 dice_class1 0.954620 hd95_class1 1.000000
name  104304 time 0.222222 dice_class1 0.952985 hd95_class1 1.000000
name  104304 time 0.250000 dice_class1 0.955394 hd95_class1 1.000000
name  104304 time 0.277778 dice_class1 0.957659 hd95_class1 1.000000
name  104304 time 0.305556 dice_class1 0.956839 hd95_class1 1.000000
